"","PLOT","INVYR","COUNTYCD","SUBP","TREE","SPCD","DIA","HT"
"120214",90006,1982,3,101,2,121,7,51
"120215",90006,1982,3,101,3,121,10.9,55
"120216",90006,1982,3,102,1,121,7.3,51
"120217",90006,1982,3,102,2,121,5.9,44
"120218",90006,1982,3,102,4,121,10.6,52
"120219",90006,1982,3,104,1,121,8.4,54
"120368",90033,1982,3,101,1,121,15.8,73
"120483",90043,1982,3,101,1,121,9.3,65
"120485",90043,1982,3,101,3,121,12.1,65
"120487",90043,1982,3,102,2,121,5.1,47
"120488",90043,1982,3,104,1,121,13.7,59
"120497",90044,1982,3,104,2,121,9.5,61
"120578",90048,1982,3,101,1,121,10.9,79
"120580",90048,1982,3,101,3,121,15.9,84
"120581",90048,1982,3,102,1,121,13.7,82
"120586",90048,1982,3,104,2,121,12.7,71
"120587",90048,1982,3,105,1,121,12.5,80
"120618",90054,1982,3,101,1,121,15.2,70
"120620",90054,1982,3,102,1,121,13.4,55
"120621",90054,1982,3,102,2,121,15.3,67
"120623",90054,1982,3,104,1,121,13.9,70
"120624",90054,1982,3,104,2,121,13.6,72
"120625",90054,1982,3,105,1,121,13.7,68
"120628",90056,1982,3,104,1,121,6.4,35
"120629",90056,1982,3,105,1,121,9,45
"120633",90057,1982,3,101,4,121,7.6,31
"120640",90057,1982,3,105,3,121,8.6,41
"120642",90059,1982,3,103,1,121,12.5,42
"120643",90059,1982,3,103,2,121,6.6,38
"120644",90059,1982,3,104,1,121,6.4,42
"120645",90059,1982,3,104,2,121,9.3,45
"120647",90059,1982,3,104,3,121,5.9,40
"120695",90071,1982,3,102,1,121,5.1,35
"120702",90071,1982,3,104,1,121,9.9,55
"120703",90071,1982,3,105,1,121,7.2,35
"120704",90072,1982,3,101,1,121,9.2,75
"120709",90072,1982,3,103,1,121,16.9,84
"120710",90072,1982,3,103,2,121,11.8,77
"120713",90072,1982,3,104,1,121,7.2,65
"120733",90075,1982,3,103,1,121,11.5,70
"120736",90075,1982,3,103,2,121,17.8,73
"120763",90077,1982,3,101,1,121,13.1,82
"120765",90077,1982,3,102,1,121,10,73
"120767",90077,1982,3,103,1,121,14.5,91
"120781",90077,1982,3,105,1,121,11.6,83
"120782",90077,1982,3,105,2,121,14.6,87
"120783",90077,1982,3,105,3,121,12.6,87
"120803",90078,1982,3,104,2,121,6.7,62
"120809",90079,1982,3,101,1,121,13.8,84
"120812",90079,1982,3,103,1,121,11.6,69
"120816",90079,1982,3,104,1,121,6.5,45
"120817",90079,1982,3,104,2,121,15.8,66
"120865",90082,1982,3,101,4,121,10.2,67
"120871",90082,1982,3,102,3,121,9,57
"120877",90083,1982,3,102,1,121,14.1,86
"120887",90083,1982,3,103,1,121,11.2,86
"120890",90083,1982,3,105,1,121,11.6,84
"120891",90083,1982,3,105,2,121,14.8,88
"120892",90083,1982,3,105,3,121,12.6,87
"121021",90090,1982,3,101,1,121,8.5,58
"121024",90090,1982,3,102,1,121,13.1,85
"121025",90090,1982,3,102,2,121,13.1,82
"121029",90090,1982,3,102,6,121,10.4,78
"121046",90091,1982,3,101,2,121,8.9,64
"121047",90091,1982,3,101,3,121,8.6,73
"121048",90091,1982,3,101,4,121,7.4,64
"121049",90091,1982,3,104,1,121,11.7,78
"121051",90091,1982,3,105,1,121,10.5,72
"121052",90091,1982,3,105,2,121,8.5,58
"121053",90091,1982,3,105,3,121,12.2,77
"121054",90091,1982,3,105,4,121,9.9,72
"121055",90091,1982,3,105,5,121,7.6,59
"121062",90092,1982,3,103,1,121,6.8,45
"121063",90092,1982,3,103,2,121,12.1,65
"121064",90092,1982,3,103,3,121,12,68
"121086",90093,1982,3,105,1,121,15.4,75
"121087",90093,1982,3,105,2,121,14.6,72
"121091",90095,1982,3,103,1,121,15,57
"121117",90109,1982,3,101,4,121,10.9,50
"121120",90109,1982,3,102,1,121,9.8,50
"121126",90109,1982,3,103,1,121,9.4,48
"121129",90109,1982,3,104,1,121,13.4,59
"121130",90109,1982,3,104,2,121,9.5,47
"121131",90109,1982,3,105,1,121,9.9,43
"121134",90110,1982,3,101,1,121,11.3,56
"121137",90110,1982,3,104,1,121,14.4,69
"121139",90110,1982,3,104,3,121,9.9,61
"121140",90110,1982,3,105,1,121,12.5,65
"121162",90114,1982,3,102,1,121,5.7,23
"121164",90114,1982,3,102,2,121,11.1,67
"121165",90114,1982,3,102,3,121,10,56
"121166",90114,1982,3,102,4,121,9.6,59
"121172",90114,1982,3,104,1,121,7.6,60
"121173",90114,1982,3,105,1,121,12.1,63
"121218",90118,1982,3,105,1,121,12.3,60
"121219",90118,1982,3,105,2,121,7.7,45
"121236",90120,1982,3,101,1,121,12,75
"121248",90120,1982,3,105,2,121,13.8,90
"121308",90123,1982,3,105,6,121,6.2,54
"121375",90128,1982,3,102,5,121,17,79
"121452",90132,1982,3,104,1,121,8.7,62
"121485",90135,1982,3,101,2,121,12.4,62
"121488",90135,1982,3,102,1,121,7.7,40
"121504",90136,1982,3,101,2,121,6.2,42
"121518",90137,1982,3,102,1,121,12.2,75
"121519",90137,1982,3,102,2,121,14.1,68
"121520",90137,1982,3,102,3,121,8.7,53
"121521",90137,1982,3,102,4,121,9,43
"121522",90137,1982,3,102,5,121,6.6,65
"121523",90137,1982,3,102,6,121,10.1,71
"121525",90137,1982,3,103,1,121,13,73
"121526",90137,1982,3,103,2,121,10.9,63
"121533",90137,1982,3,104,1,121,12.8,63
"121534",90137,1982,3,104,2,121,11.3,62
"121537",90137,1982,3,105,3,121,13.4,65
"121538",90137,1982,3,105,4,121,12.5,55
"121650",90150,1982,3,104,1,121,8.7,56
"121686",90153,1982,3,101,4,121,10.8,65
"121689",90153,1982,3,102,1,121,5.6,55
"122041",90178,1982,3,105,3,121,18,63
"122042",90179,1982,3,101,1,121,9.7,58
"122043",90179,1982,3,101,2,121,10.3,60
"122047",90179,1982,3,102,1,121,11.7,59
"122048",90179,1982,3,102,2,121,14.6,60
"122049",90179,1982,3,102,3,121,11.2,54
"122050",90179,1982,3,102,4,121,8.4,55
"122053",90179,1982,3,103,2,121,14,46
"122056",90179,1982,3,104,1,121,11.1,50
"122058",90179,1982,3,105,1,121,5.9,50
"122072",90183,1982,3,104,2,121,5.5,34
"122120",90186,1982,3,103,1,121,5.5,45
"122140",90188,1982,3,102,1,121,6.2,49
"122142",90188,1982,3,103,1,121,9.7,56
"122143",90188,1982,3,103,2,121,9.2,58
"122144",90188,1982,3,104,3,121,10.3,54
"122146",90188,1982,3,104,1,121,9.6,55
"122147",90188,1982,3,104,2,121,7.6,46
"200063",90006,1990,3,101,2,121,8,58
"200064",90006,1990,3,101,3,121,12.5,60
"200065",90006,1990,3,102,1,121,8.1,57
"200066",90006,1990,3,102,2,121,6,47
"200067",90006,1990,3,102,3,121,11.7,59
"200068",90006,1990,3,104,1,121,8.9,53
"200072",90006,1990,3,106,1,121,8.3,65
"200073",90006,1990,3,106,2,121,9,59
"200074",90006,1990,3,107,1,121,9.8,56
"200075",90006,1990,3,108,3,121,5.9,48
"200076",90006,1990,3,107,2,121,10.9,59
"200077",90006,1990,3,108,1,121,10.6,47
"200078",90006,1990,3,108,2,121,10.3,60
"200079",90006,1990,3,109,1,121,9.4,55
"200082",90006,1990,3,110,1,121,5.8,25
"200501",90042,1990,3,102,1,121,13.9,80
"200506",90042,1990,3,108,1,121,13.3,66
"200507",90042,1990,3,103,1,121,11.7,73
"200510",90042,1990,3,109,1,121,12.2,70
"200515",90042,1990,3,110,1,121,12.1,75
"200516",90043,1990,3,101,1,121,10.5,74
"200518",90043,1990,3,101,3,121,13.7,80
"200519",90043,1990,3,101,4,121,7.8,61
"200520",90043,1990,3,102,1,121,6.5,65
"200521",90043,1990,3,102,2,121,6.9,65
"200522",90043,1990,3,102,3,121,15.3,76
"200523",90043,1990,3,102,4,121,5.9,62
"200524",90043,1990,3,104,1,121,14.4,69
"200526",90043,1990,3,105,1,121,12.3,77
"200527",90043,1990,3,105,2,121,8.6,73
"200528",90043,1990,3,106,1,121,13.8,74
"200529",90043,1990,3,106,2,121,10.1,70
"200530",90043,1990,3,107,1,121,10.2,71
"200535",90043,1990,3,108,1,121,18,87
"200536",90043,1990,3,108,2,121,12.6,72
"200537",90043,1990,3,108,3,121,14,73
"200538",90043,1990,3,109,1,121,12.6,73
"200539",90043,1990,3,109,2,121,13.3,72
"200552",90044,1990,3,104,2,121,11.6,73
"200662",90048,1990,3,101,1,121,12.1,85
"200664",90048,1990,3,102,1,121,10.2,82
"200665",90048,1990,3,102,2,121,12.9,92
"200666",90048,1990,3,104,1,121,13.5,86
"200667",90048,1990,3,105,1,121,13.4,86
"200668",90048,1990,3,108,1,121,13.3,94
"200669",90048,1990,3,108,2,121,11.1,92
"200670",90048,1990,3,109,1,121,10.3,94
"200671",90048,1990,3,109,2,121,13.9,92
"200720",90054,1990,3,106,1,121,15.6,87
"200721",90054,1990,3,107,1,121,16.9,88
"200722",90054,1990,3,108,1,121,15.9,82
"200723",90054,1990,3,109,1,121,18.4,78
"200730",90057,1990,3,101,2,121,9.5,43
"200748",90057,1990,3,105,3,121,10.2,48
"200768",90059,1990,3,102,2,121,13.3,37
"200770",90059,1990,3,103,1,121,13.2,46
"200771",90059,1990,3,103,2,121,7.3,45
"200772",90059,1990,3,104,1,121,7,50
"200773",90059,1990,3,104,2,121,10,50
"200774",90059,1990,3,104,3,121,6.4,45
"200775",90059,1990,3,105,1,121,5.2,23
"200776",90059,1990,3,105,2,121,6.3,41
"200777",90059,1990,3,106,1,121,10.3,53
"200779",90059,1990,3,107,1,121,5.1,36
"200887",90071,1990,3,102,1,121,7.8,57
"200893",90071,1990,3,103,5,121,5.5,46
"200894",90071,1990,3,103,6,121,6.2,45
"200896",90071,1990,3,104,1,121,12.5,65
